Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Code;Libellé;Unités légales (en nombre) 2021;Population municipale 2022;Densité de population (historique depuis 1876) 2021;Part construction dans les créations d'ent. 2023
01388;Saint-Trivier-de-Courtes;77;1122;67.7;25
01389;Saint-Trivier-sur-Moignans;160;1910;44.2;11.1
01390;Saint-Vulbas;163;1229;57.6;9.5
01391;Salavre;22;295;36.6;33.3
01392;Samognat;29;645;47.1;0
01393;Sandrans;33;578;19.5;22.2
01396;Sault-Brénaz;55;1007;177.7;8.3
01397;Sauverny;38;1003;524.9;12.5
01398;Savigneux;118;1459;98.2;10.5
01399;Ségny;101;2676;744.4;6.9
01400;Seillonnaz;11;136;14.3;0
01401;Sergy;76;2279;234.5;5.9
01402;Sermoyer;28;659;38.8;12.5
01403;Serrières-de-Briord;86;1329;163.4;6.7
01404;Serrières-sur-Ain;4;135;16.4;0
01405;Servas;68;1287;97.3;0
01406;Servignat;11;180;21.9;100
01407;Seyssel;69;997;417.1;10
01408;Simandre-sur-Suran;38;664;40.2;0
01410;Sonthonnax-la-Montagne;20;287;20.7;0
01411;Souclin;12;263;20.2;0
01412;Sulignat;23;605;56.3;0
01415;Talissieu;28;514;108.1;0
01416;Tenay;53;1024;77.2;12.5
01418;Thil;82;1208;224.5;10
01419;Thoiry;314;6356;212.1;5.4
01420;Thoissey;114;1644;1235.1;5.3
01421;Torcieu;51;744;69.4;0
01422;Tossiat;120;1389;132.9;18.2
01423;Toussieux;72;1228;252.7;10
01424;Tramoyes;133;1845;142.5;7.4
01425;La Tranclière;19;288;19.4;0
01426;Val-Revermont;166;2494;55;3.7
01427;Trévoux;598;6931;1216.6;9.9
01428;Valeins;11;131;30;0
01429;Vandeins;34;725;76.3;0
01430;Varambon;41;664;81.9;0
01431;Vaux-en-Bugey;86;1218;150.1;11.1
01432;Verjon;20;343;66.3;0
01433;Vernoux;10;296;29.5;14.3
01434;Versailleux;32;500;26.3;0
01435;Versonnex;94;2222;362.8;0
01436;Vesancy;24;513;46.9;0
01437;Vescours;8;215;17.5;N/A - résultat non disponible
01439;Vésines;9;97;25.3;33.3
01441;Vieu-d'Izenave;50;727;31;0
01443;Villars-les-Dombes;380;5059;201;12.1
01444;Villebois;65;1200;82.8;5.9
01445;Villemotier;31;607;44.5;0
01446;Villeneuve;120;1603;58.6;13.6
01447;Villereversure;72;1391;77.5;22.2
01448;Villes;12;390;43.4;0
01449;Villette-sur-Ain;59;763;39.3;7.7
01450;Villieu-Loyes-Mollon;253;3831;238.4;15.6
01451;Viriat;567;6955;151.2;12
01452;Virieu-le-Grand;81;1110;89.1;16.7
01453;Arvière-en-Valromey;48;715;17.4;37.5
01454;Virignin;86;1122;143;20
01456;Vongnes;9;71;34.6;N/A - résultat non disponible
01457;Vonnas;216;3233;180.6;6.2
02001;Abbécourt;20;513;85.1;0
02002;Achery;27;586;86.1;12.5
02003;Acy;25;1013;87.1;0
02004;Agnicourt-et-Séchelles;7;188;17.2;33.3
02005;Aguilcourt;15;405;37.2;50
02006;Aisonville-et-Bernoville;18;257;29.7;N/A - résultat non disponible
02007;Aizelles;12;119;24.6;N/A - résultat non disponible
02008;Aizy-Jouy;14;308;20.7;0
02009;Alaincourt;16;522;89.3;0
02010;Allemant;8;166;32.9;0
02011;Ambleny;57;1203;68.2;10.5
02012;Ambrief;10;81;17.3;N/A - résultat non disponible
02013;Amifontaine;23;386;13.9;0
02014;Amigny-Rouy;32;710;54.7;20
02015;Ancienville;7;78;19.7;0
02016;Andelain;6;211;72.9;33.3
02017;Anguilcourt-le-Sart;13;281;32.3;0
02018;Anizy-le-Grand;97;2510;123.9;6.7
02019;Annois;20;352;60.2;N/A - résultat non disponible
02020;Any-Martin-Rieux;25;455;25.7;16.7
02021;Archon;4;77;12.4;N/A - résultat non disponible
02022;Arcy-Sainte-Restitue;24;398;15.1;25
02023;Armentières-sur-Ourcq;4;98;14.5;N/A - résultat non disponible
02024;Arrancy;2;45;8.4;N/A - résultat non disponible
02025;Artemps;11;363;57.8;33.3
02027;Assis-sur-Serre;11;203;25.6;20
02028;Athies-sous-Laon;86;2600;168.5;11.8
02029;Attilly;11;345;29.5;0
02030;Aubencheul-aux-Bois;13;243;117.5;40
02031;Aubenton;33;659;27.8;0
02032;Aubigny-aux-Kaisnes;11;239;66.4;0
02033;Aubigny-en-Laonnois;6;101;22.9;0
02034;Audignicourt;3;110;20.5;0
02035;Audigny;15;282;26.2;0
02036;Augy;2;68;26.9;N/A - résultat non disponible
02037;Aulnois-sous-Laon;35;1366;136.8;12.5
02038;Les Autels;2;63;10.4;0
02039;Autremencourt;7;175;19.1;N/A - résultat non disponible
02040;Autreppes;4;176;26;N/A - résultat non disponible
02041;Autreville;42;791;226.8;0
02042;Azy-sur-Marne;19;370;134.9;0
02043;Bagneux;1;62;28.5;0
02044;Bancigny;2;25;7.5;N/A - résultat non disponible
02046;Barenton-Bugny;17;556;48.9;0
02047;Barenton-Cel;3;108;16.1;0
02048;Barenton-sur-Serre;4;128;16.1;0
02049;Barisis-aux-Bois;24;746;48.9;0
02050;Barzy-en-Thiérache;10;317;41.8;N/A - résultat non disponible
02051;Barzy-sur-Marne;19;399;51.9;0
02052;Bassoles-Aulers;8;130;18.3;50
02053;Vallées en Champagne;31;590;14.1;14.3
02054;Bazoches-et-Saint-Thibaut;23;517;38.5;0
02055;Beaumé;2;84;9.4;N/A - résultat non disponible
02056;Beaumont-en-Beine;7;172;32.5;0
02057;Beaurevoir;58;1324;63;27.3
02058;Beaurieux;68;813;85.9;20
02059;Beautor;77;2625;359.1;0
02060;Beauvois-en-Vermandois;9;257;33.6;33.3
02061;Becquigny;11;263;55.2;0
02062;Belleau;5;133;19.9;0
02063;Bellenglise;25;379;59.4;16.7
02064;Belleu;131;3624;815.2;20
02065;Bellicourt;20;561;58.8;0
02066;Benay;7;188;28;N/A - résultat non disponible
02067;Bergues-sur-Sambre;5;206;47.2;0
02068;Berlancourt;2;81;16;0
02069;Berlise;3;104;15.9;0
02070;Bernot;16;434;26.4;0
02071;Berny-Rivière;36;633;81.4;9.1
02072;Berrieux;6;177;36.1;33.3
02073;Berry-au-Bac;22;720;86.8;22.2
02074;Bertaucourt-Epourdon;16;586;78.7;9.1
02075;Berthenicourt;10;198;62.9;N/A - résultat non disponible
02076;Bertricourt;11;154;33.3;N/A - résultat non disponible
02078;Besmé;3;166;62.8;N/A - résultat non disponible
02079;Besmont;4;137;9;N/A - résultat non disponible
02080;Besny-et-Loizy;15;314;33;0
02081;Béthancourt-en-Vaux;17;425;99.5;33.3
02082;Beugneux;7;117;14.7;0
02083;Beuvardes;35;741;47.6;16.7
02084;Bézu-le-Guéry;12;250;22.7;0
02085;Bézu-Saint-Germain;48;991;89;0
02086;Bichancourt;33;989;128.8;75
02087;Bieuxy;0;34;7.6;N/A - résultat non disponible
02088;Bièvres;0;80;31.8;0
02089;Billy-sur-Aisne;52;1141;154.1;6.7
02090;Billy-sur-Ourcq;8;195;19.6;100
02091;Blanzy-lès-Fismes;6;91;17.5;0
02093;Blérancourt;72;1212;116.8;6.7
02094;Blesmes;33;473;48.6;0
02095;Bohain-en-Vermandois;212;5724;180.2;10.6
02096;Bois-lès-Pargny;11;188;18.5;N/A - résultat non disponible
02097;Boncourt;20;270;19.9;0
02098;Bonneil;16;376;178.7;0
02099;Bonnesvalyn;17;207;33.3;20
02100;Bony;8;139;17.4;0
02101;Bosmont-sur-Serre;12;171;18.4;N/A - résultat non disponible
02102;Bouconville-Vauclair;13;184;14.3;0
02103;Boué;44;1316;126.8;12.5
02104;Bouffignereux;9;95;22;0
02105;Bouresches;14;187;25.3;0
02106;Bourg-et-Comin;36;809;158.2;8.3
02107;Bourguignon-sous-Coucy;2;104;37.1;0
02108;Bourguignon-sous-Montbavin;4;146;79.2;0
02109;La Bouteille;16;468;24.8;0
02110;Braine;111;2243;192.7;8.3
02111;Brancourt-en-Laonnois;18;710;109.5;0
02112;Brancourt-le-Grand;23;558;42.3;0
02114;Brasles;87;1711;219.5;5.6
02115;Braye-en-Laonnois;3;189;22.6;50
02116;Braye-en-Thiérache;5;133;15;0
02117;Bray-Saint-Christophe;1;65;23.3;N/A - résultat non disponible
02118;Braye;3;130;97;N/A - résultat non disponible
02119;Brécy;16;317;32;0
02120;Brenelle;4;194;44.9;N/A - résultat non disponible
02121;Breny;5;219;50.4;50
02122;Brie;3;54;19.6;100
02123;Brissay-Choigny;20;297;33.2;0
02124;Brissy-Hamégicourt;24;653;52.7;0
02125;Brumetz;16;179;25;0
02126;Brunehamel;31;458;50.9;0
02127;Bruyères-sur-Fère;13;195;21.1;N/A - résultat non disponible
02128;Bruyères-et-Montbérault;95;1419;123.3;14.3
02129;Bruys;3;19;3.3;0
02130;Bucilly;1;202;15.6;0
02131;Bucy-le-Long;77;1915;146.3;6.7
02132;Bucy-lès-Cerny;14;188;21.6;N/A - résultat non disponible
02133;Bucy-lès-Pierrepont;15;406;27.7;50
02134;Buire;37;822;205.6;66.7
02135;Buironfosse;56;1125;64.5;0
02136;Burelles;7;123;9;0
02137;Bussiares;6;131;19.1;0
02138;Buzancy;8;183;40.4;0
02139;Caillouël-Crépigny;16;459;68.3;0
02140;Camelin;12;436;48.9;0
02141;La Capelle;84;1757;144.3;21.1
02142;Castres;6;247;43.6;0
02143;Le Catelet;10;185;451.2;N/A - résultat non disponible
02144;Caulaincourt;9;144;23.8;0
02145;Caumont;19;546;95.6;28.6
02146;Celles-lès-Condé;7;94;25.3;N/A - résultat non disponible
02148;Celles-sur-Aisne;12;252;41.4;100
02149;Cerizy;4;59;14.8;0
02150;Cerny-en-Laonnois;2;63;8.6;N/A - résultat non disponible
02151;Cerny-lès-Bucy;11;113;36.1;0
02152;Cerseuil;4;88;18.9;N/A - résultat non disponible
02153;Cessières-Suzy;25;796;38.8;0
02154;Chacrise;23;367;28.8;20
02155;Chaillevois;4;197;86.2;0
02156;Chalandry;9;242;32.6;0
02157;Chambry;67;831;93.6;0
02158;Chamouille;109;270;80.8;33.3
02159;Champs;9;311;33.2;50
02160;Chaourse;22;497;27.5;50
02162;La Chapelle-sur-Chézy;12;299;37.7;0
02163;Charly-sur-Marne;171;2584;125.8;4
02164;Le Charmel;14;324;33.2;33.3
02165;Charmes;63;1596;443.7;6.7
02166;Chartèves;14;358;40.9;0
02167;Chassemy;33;898;81.7;20
02168;Château-Thierry;960;15068;918.7;4.1
02169;Châtillon-lès-Sons;4;83;8;0
02170;Châtillon-sur-Oise;4;125;47.3;N/A - résultat non disponible
02171;Chaudardes;5;91;19.1;N/A - résultat non disponible
02172;Chaudun;19;244;29.5;0
02173;Chauny;653;11456;865.7;12.6
02174;Chavignon;37;852;72.8;0
02175;Chavigny;5;159;31.2;N/A - résultat non disponible
02176;Chavonne;9;210;57.2;50
02177;Chérêt;6;146;38.8;0
02178;Chermizy-Ailles;7;121;10.5;0
02179;Chéry-Chartreuve;12;379;27.7;25
02180;Chéry-lès-Pouilly;22;737;42.7;0
02181;Chéry-lès-Rozoy;1;97;19.2;N/A - résultat non disponible
02182;Chevennes;2;128;20;N/A - résultat non disponible
02183;Chevregny;5;191;20.9;50
02184;Chevresis-Monceau;12;335;20.2;0
02185;Chézy-en-Orxois;21;377;23.5;12.5
02186;Chézy-sur-Marne;84;1308;58.9;27.3
02187;Chierry;45;1169;410.3;0
02188;Chigny;3;141;13.7;0
02189;Chivres-en-Laonnois;8;354;25.7;0
02190;Chivres-Val;18;532;95.1;0
02191;Chivy-lès-Étouvelles;33;488;141.2;0
02192;Chouy;17;371;18.7;0
